timestamp,battery_percent,solar_input_wm2,power_consumption_w,temperature_c
2024-01-01 00:00:00,85.2,0.0,45.3,-45.2
2024-01-01 00:01:00,85.1,0.0,45.1,-45.1
2024-01-01 00:02:00,85.0,0.0,44.8,-45.0
2024-01-01 00:03:00,84.9,0.0,44.6,-44.9
2024-01-01 00:04:00,84.8,0.0,44.4,-44.8
2024-01-01 00:05:00,84.7,0.0,44.2,-44.7
2024-01-01 00:06:00,84.6,0.0,44.0,-44.6
2024-01-01 00:07:00,84.5,0.0,43.8,-44.5
2024-01-01 00:08:00,84.4,0.0,43.6,-44.4
2024-01-01 00:09:00,84.3,0.0,43.4,-44.3
2024-01-01 00:10:00,84.2,0.0,43.2,-44.2
2024-01-01 00:11:00,84.1,0.0,43.0,-44.1
2024-01-01 00:12:00,84.0,0.0,42.8,-44.0
2024-01-01 00:13:00,83.9,0.0,42.6,-43.9
2024-01-01 00:14:00,83.8,0.0,42.4,-43.8
2024-01-01 00:15:00,83.7,0.0,42.2,-43.7
2024-01-01 00:16:00,83.6,0.0,42.0,-43.6
2024-01-01 00:17:00,83.5,0.0,41.8,-43.5
2024-01-01 00:18:00,83.4,0.0,41.6,-43.4
2024-01-01 00:19:00,83.3,0.0,41.4,-43.3
2024-01-01 00:20:00,83.2,0.0,41.2,-43.2
